key,en,pt_BR,cmn,es,ru
CONS_HIDROPONIC_DES,Generate Food,Gera Orgânicos e Alimentos,	生成有机物和食物,Generar Alimentos y Orgánicos,Извлечение воды из воздуха
CONS_SYNTETITOR_DES,Convert Resources,Converte Recursos em outros,	转换资源,	Convertir Recursos,Преобразовать ресурсы
CONS_WATER_COND_DES,Generate Water from Air,Gera Água a partir do Ar,从空气中提取水,	Generar Agua del Aire,Извлечение воды из воздуха
CONS_SOLAR_PANEL,Generate Energy,Gera Energia,	产生能量,	Generar Energía,Генерация энергии
LAST_TIME_PLAY,Last Time Played,Partida Anterior,上一局,	Última Partida,Последняя игра
OXIGEN,Oxigen,Oxigênio,	氧气,Oxígeno,	Кислород
HIDROGEN,Hidrogen,Hidrogênio,	氢气,	Hidrógeno,	Водород
ORGANICS,Organics,Orgânicos,有机物,	Orgánicos,Органика
METAL,Metal,Metal ,金属,	Metal,Металл
WATER,Water,Água,	水,Agua,Вода
CONS_TITLE,Constructions,Construções,建筑物,Construcciones,Постройки
KG_OF,Kg of,Kg de,千克,Kg de,кг
HOUR_OF,hours of,horas de,小时,hora de,час
PAUSE,Pause,Pausa,暂停菜单,Menú de pausa ,Меню паузы
SELECT_SLOT,Select Slot,Selecione o arquivo,选择槽位,Seleccionar ranura,Выбрать слот
CONFIRM_NEW_GAME,Confirm New Game?,Confirma Novo Jogo?,确认开始新游戏？,¿Confirmar nuevo juego?,Подтвердить начало новой игры? 
I_LOAD_GAME,Load Game?,Carregar Jogo Salvo?,载入游戏？,¿Cargar partida?,Загрузить игру? 
GO_TO_MAIN_MENU,Exit to Main Menu,Sair para o Menu Principal,返回主菜单 ,Salir al menú principal,Выйти в главное меню 
WAIT_A_MOMENT,Wait a minute,Aguarde um Momento,请稍候,Espera un momento,"Пожалуйста, подождите"
SAVING_THE_GAME,Saving Game,Salvando o Jogo,正在保存游戏,Guardando el juego,Сохранение игры
SAVED_SUCESS,Saved,Salvo com sucesso!,游戏保存成功！,¡Guardado con éxito!,Игра успешно сохранена!
SUCESS,Sucess!,Sucesso!,成功！,¡Éxito!,Успешно!
LOADING_THE_GAME,Loading Game,Carregando o Jogo,正在加载游戏,Cargando el juego,Загрузка игры
LOAD_SUCESS,Loaded,Carregado com sucesso!,游戏加载成功！,¡Juego cargado con éxito!,Игра успешно загружена!
CONFIRM_THE_ACTION,Confirm Action,Confirmar a Ação,确认操作,Confirmar acción,Подтвердить действие
WRITE_FILE,Overwrite the file?,Deseja sobreescrever o arquivo?,是否要覆盖该文件？,¿Deseas sobrescribir el archivo?,Вы хотите перезаписать файл?
